1.791336759924888611e-02,-8.162055164575576782e-03,8.105397820472717285e-01,-2.439910918474197388e-02,8.230318129062652588e-02,8.049492835998535156e-01,5.871009230613708496e-01,4.903278499841690063e-02,2.210996896028518677e-01,6.275271773338317871e-01,1.993858665227890015e-01,5.590881034731864929e-02,-7.760530710220336914e-02,-9.677233546972274780e-02,-3.599469959735870361e-01,-7.690894603729248047e-01,6.513471901416778564e-02,2.378271427005529404e-03,1.148331165313720703e-01,7.696049660444259644e-02,1.458332389593124390e-01,6.670759320259094238e-01,-5.647078752517700195e-01,5.025202631950378418e-01,1.753785461187362671e-01,-1.166086867451667786e-01,-9.300317764282226562e-01,7.859112024307250977e-01,2.894659936428070068e-01,-4.327476620674133301e-01
2.732011303305625916e-02,8.212645538151264191e-03,8.120652437210083008e-01,-1.448123995214700699e-02,8.850274980068206787e-02,8.085857033729553223e-01,5.815038681030273438e-01,1.824392378330230713e-02,2.001123577356338501e-01,5.695236325263977051e-01,2.410073727369308472e-01,7.538195699453353882e-02,-6.398135423660278320e-02,-5.606067180633544922e-02,-3.615048229694366455e-01,-7.934202551841735840e-01,5.536504462361335754e-02,-3.447335958480834961e-02,1.193381845951080322e-01,3.268896788358688354e-02,1.293750852346420288e-01,6.313118338584899902e-01,-6.072099208831787109e-01,6.130712032318115234e-01,1.643543243408203125e-01,-1.142841950058937073e-01,-9.364014267921447754e-01,7.850719690322875977e-01,3.222904801368713379e-01,-4.428507089614868164e-01
3.907606378197669983e-02,2.115704677999019623e-02,8.135022521018981934e-01,-8.436007425189018250e-03,9.334103763103485107e-02,7.985147237777709961e-01,5.946347713470458984e-01,-3.151630749925971031e-03,1.806175410747528076e-01,5.550961494445800781e-01,2.570423781871795654e-01,6.847440451383590698e-02,-4.777319356799125671e-02,-4.799737781286239624e-02,-3.460658788681030273e-01,-7.691224813461303711e-01,4.766612127423286438e-02,-5.927476659417152405e-02,1.190905496478080750e-01,3.210975229740142822e-02,1.555834710597991943e-01,6.156649589538574219e-01,-6.087833642959594727e-01,6.820369362831115723e-01,1.722674965858459473e-01,-1.140786632895469666e-01,-9.535492658615112305e-01,7.673098444938659668e-01,3.434318304061889648e-01,-4.416247904300689697e-01
5.091143772006034851e-02,3.088033385574817657e-02,8.148824572563171387e-01,-2.588771050795912743e-03,9.640200436115264893e-02,7.825114727020263672e-01,6.151224970817565918e-01,-3.111765347421169281e-02,1.553543359041213989e-01,5.322997570037841797e-01,2.633492052555084229e-01,6.049988791346549988e-02,-3.570960834622383118e-02,-5.033879727125167847e-02,-3.279832899570465088e-01,-7.271729707717895508e-01,4.424868151545524597e-02,-7.423329353332519531e-02,1.186585277318954468e-01,3.921115398406982422e-02,1.961197406053543091e-01,6.009742021560668945e-01,-6.051090359687805176e-01,7.429051995277404785e-01,1.922715753316879272e-01,-1.110345348715782166e-01,-9.634796380996704102e-01,7.396747469902038574e-01,3.826446831226348877e-01,-4.411794841289520264e-01
6.392458081245422363e-02,4.084339737892150879e-02,8.160443305969238281e-01,3.372294595465064049e-03,9.849626570940017700e-02,7.636533379554748535e-01,6.380600929260253906e-01,-6.956659257411956787e-02,1.275757104158401489e-01,4.996297657489776611e-01,2.575296163558959961e-01,4.943916201591491699e-02,-2.690613642334938049e-02,-5.176221579313278198e-02,-3.054488003253936768e-01,-6.735419034957885742e-01,3.935251757502555847e-02,-8.541478216648101807e-02,1.195734664797782898e-01,5.846427381038665771e-02,2.363295555114746094e-01,5.844126939773559570e-01,-5.899832844734191895e-01,7.946872115135192871e-01,2.132501751184463501e-01,-1.085930913686752319e-01,-9.610828161239624023e-01,6.971213817596435547e-01,4.464109241962432861e-01,-4.295714497566223145e-01
7.890612632036209106e-02,5.491530150175094604e-02,8.168316483497619629e-01,7.640721742063760757e-03,1.002752706408500671e-01,7.415224313735961914e-01,6.633483171463012695e-01,-1.143998727202415466e-01,1.001395732164382935e-01,4.558551311492919922e-01,2.420065104961395264e-01,4.017065092921257019e-02,-1.660483144223690033e-02,-4.827213659882545471e-02,-2.741407752037048340e-01,-6.108940243721008301e-01,3.004159964621067047e-02,-9.521412849426269531e-02,1.163002327084541321e-01,8.035231381654739380e-02,2.731626331806182861e-01,5.666763186454772949e-01,-5.751891136169433594e-01,8.471099138259887695e-01,2.379302233457565308e-01,-1.089925169944763184e-01,-9.336348772048950195e-01,6.353859305381774902e-01,5.341898798942565918e-01,-4.026965796947479248e-01
9.142179787158966064e-02,6.367096304893493652e-02,8.170726299285888672e-01,1.079264376312494278e-02,9.978804737329483032e-02,7.195532917976379395e-01,6.871454715728759766e-01,-1.599694639444351196e-01,8.085866272449493408e-02,4.065973162651062012e-01,2.215878665447235107e-01,3.534927591681480408e-02,-7.282079663127660751e-03,-4.611253365874290466e-02,-2.432985752820968628e-01,-5.498167276382446289e-01,1.925371587276458740e-02,-9.697949141263961792e-02,1.081205382943153381e-01,1.035161241888999939e-01,2.978528141975402832e-01,5.491867065429687500e-01,-5.671634674072265625e-01,8.938139677047729492e-01,2.666611671447753906e-01,-1.146735325455665588e-01,-8.851857781410217285e-01,5.573993325233459473e-01,6.435204744338989258e-01,-3.716154396533966064e-01
1.055795028805732727e-01,7.441951334476470947e-02,8.168049454689025879e-01,1.216322556138038635e-02,9.884888678789138794e-02,6.970334053039550781e-01,7.100883126258850098e-01,-1.966619193553924561e-01,6.804674863815307617e-02,3.687561750411987305e-01,1.980767846107482910e-01,2.786236628890037537e-02,3.398607717826962471e-03,-4.015551880002021790e-02,-2.079887390136718750e-01,-4.892958700656890869e-01,8.837526664137840271e-03,-9.835003316402435303e-02,9.859942644834518433e-02,1.178904175758361816e-01,3.134956657886505127e-01,5.285015106201171875e-01,-5.718949437141418457e-01,9.344037771224975586e-01,3.017086684703826904e-01,-1.323258131742477417e-01,-8.159996867179870605e-01,4.625701904296875000e-01,7.749733328819274902e-01,-3.376162052154541016e-01
1.140075400471687317e-01,8.050457388162612915e-02,8.158856630325317383e-01,1.197073701769113541e-02,9.606124460697174072e-02,6.779513359069824219e-01,7.287049293518066406e-01,-2.358213663101196289e-01,6.480136513710021973e-02,3.365242779254913330e-01,1.870883852243423462e-01,3.039682656526565552e-02,3.709777956828474998e-03,-3.492012247443199158e-02,-1.784066259860992432e-01,-4.357533454895019531e-01,-2.224885858595371246e-03,-1.001954153180122375e-01,9.048556536436080933e-02,1.410060673952102661e-01,3.150396347045898438e-01,5.141085386276245117e-01,-5.780024528503417969e-01,9.600508809089660645e-01,3.102410137653350830e-01,-1.451483070850372314e-01,-7.726182937622070312e-01,4.144562780857086182e-01,8.533321022987365723e-01,-3.067790269851684570e-01
1.236842498183250427e-01,9.063145518302917480e-02,8.141638040542602539e-01,1.018889155238866806e-02,9.217352420091629028e-02,6.544449925422668457e-01,7.504011988639831543e-01,-2.741996645927429199e-01,6.098612770438194275e-02,3.038810789585113525e-01,1.618511676788330078e-01,3.718344122171401978e-02,4.205883014947175980e-03,-2.688357606530189514e-02,-1.436366438865661621e-01,-3.741169869899749756e-01,-6.701107602566480637e-03,-1.064983233809471130e-01,7.905191183090209961e-02,1.472778022289276123e-01,3.118984401226043701e-01,4.880214631557464600e-01,-5.727638602256774902e-01,9.807819128036499023e-01,2.978702783584594727e-01,-1.561686545610427856e-01,-7.094172835350036621e-01,3.411813080310821533e-01,9.286975860595703125e-01,-2.512964308261871338e-01
